買取価格,,,,03/07,03/06,03/05,03/04,03/03,03/02,03/01,02/28,02/27,02/26,02/25,02/24,02/23,02/22,02/21,02/20,02/19,02/18,02/17,02/16,02/15,02/14,02/13,02/12,02/11,02/10,02/09,02/08,02/07,02/06,02/05,02/04,02/03,02/02,02/01,01/31,01/30,01/29,01/28,01/27,01/26,01/25,01/24,01/23,01/22,01/21,01/20,01/19,01/18,01/17,01/16,01/15,01/14,01/13,01/12,01/11,01/10,01/09,01/08,01/07,01/06,01/05,01/04,01/03,01/02,01/01,12/31,12/30,12/29,12/28,12/27,12/26,12/25,12/24,12/23,12/22,12/21,12/20,12/19,12/18,12/17,12/16,12/15,12/14,12/13,12/12,12/11,12/10,12/09,12/08,12/07,12/06,12/05,12/04,12/03,12/02,12/01,11/30,11/29,11/28,11/27,11/26,11/25,11/24,11/23,11/22,11/21,11/20,11/19,11/18,11/17,11/16,11/15,11/14,11/13,11/12,11/11,11/10,11/09,11/08,11/07,11/06,11/05,11/04,11/03,11/02,11/01,10/31,10/30,10/29,10/28,10/27,10/26,10/25,10/24,10/23,10/22,10/21,10/20,10/19,10/18,10/17,10/16,10/15,10/14,10/13,10/12,10/11,10/10,10/09,10/08,10/07,10/06,10/05,10/04,10/03,10/02,10/01,09/30,09/29,09/28,09/27,09/26,09/25,09/24,09/23,09/22,09/21,09/20,09/19,,最安値,最高値
機種名,容量,Apple定価,差額,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月（祝）,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火（祝）,月,日,土,金,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利益率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17ProMax,256G,"  194,800 ",,5.75%,5.75%,5.24%,5.75%,5.24%,0.10%,9.34%,9.34%,9.34%,9.34%,8.83%,7.80%,6.78%,6.78%,6.78%,7.80%,8.83%,6.78%,6.26%,5.75%,5.75%,5.75%,5.49%,4.21%,3.70%,3.70%,6.52%,6.52%,6.52%,6.52%,5.75%,5.75%,5.24%,4.47%,4.21%,4.21%,4.21%,3.70%,2.67%,6.26%,6.52%,6.26%,6.26%,7.80%,7.80%,7.29%,4.47%,3.70%,4.72%,4.72%,5.24%,5.24%,4.72%,4.72%,4.72%,4.21%,4.21%,5.49%,4.72%,3.18%,2.41%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,1.13%,0.62%,0.10%,0.10%,0.10%,1.64%,1.64%,1.64%,0.87%,0.62%,0.10%,-0.41%,-0.67%,-0.92%,-0.92%,-0.67%,-0.67%,-0.67%,-0.92%,-0.92%,-1.18%,-1.18%,-1.44%,-1.44%,-1.44%,-1.69%,-1.95%,-1.95%,-1.44%,-1.44%,-1.44%,-1.18%,-1.18%,-0.41%,0.36%,0.36%,0.10%,-0.67%,0.10%,0.36%,0.36%,0.36%,0.36%,0.10%,0.62%,0.10%,0.62%,0.62%,1.64%,1.64%,1.64%,1.64%,1.64%,1.64%,1.64%,1.64%,1.64%,1.13%,0.10%,-0.41%,1.13%,1.64%,5.24%,5.24%,5.24%,5.24%,6.62%,6.26%,5.75%,8.32%,10.37%,9.60%,10.37%,9.34%,8.83%,8.83%,8.83%,12.68%,12.68%,10.88%,10.37%,9.45%,9.45%,13.96%,18.33%,17.56%,11.40%,9.86%,6.78%,6.78%,6.78%,,-1.95%,18.33%
,512G,"  229,800 ",,2.26%,1.83%,1.83%,2.70%,1.39%,-0.35%,5.74%,5.74%,5.74%,5.74%,4.87%,4.44%,3.57%,3.57%,3.57%,3.57%,4.44%,3.57%,1.61%,0.96%,0.96%,0.74%,0.52%,-0.57%,-0.13%,-0.13%,-0.13%,-0.13%,-0.13%,-0.13%,-2.09%,-1.22%,-1.22%,-1.65%,-2.09%,-2.09%,-2.09%,-2.96%,-2.96%,-0.78%,-0.78%,-0.78%,-0.78%,0.96%,0.52%,0.52%,0.52%,0.52%,0.96%,0.96%,1.39%,1.39%,1.39%,1.17%,1.17%,1.17%,1.17%,2.92%,2.26%,1.61%,0.96%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,-0.35%,-0.35%,-0.35%,-0.35%,0.09%,0.09%,0.09%,-0.35%,-0.57%,-0.57%,-0.57%,-0.57%,-0.78%,-0.78%,-0.78%,-0.78%,-0.78%,-1.00%,-1.00%,-1.22%,-1.22%,-1.22%,-1.22%,-1.57%,-1.57%,-1.65%,-1.00%,-1.00%,-1.22%,-1.65%,-1.65%,-1.22%,-1.65%,-1.22%,-1.22%,-1.65%,-1.65%,-1.65%,-1.65%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,-0.78%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.09%,0.09%,-0.35%,-0.35%,0.96%,0.96%,2.48%,2.48%,2.48%,2.26%,3.00%,2.70%,2.70%,4.44%,6.40%,6.18%,5.74%,4.87%,4.44%,4.44%,4.44%,7.05%,7.05%,5.74%,4.44%,4.87%,4.87%,8.79%,14.53%,13.58%,7.92%,7.92%,5.74%,5.74%,5.74%,,-2.96%,14.53%
,1T,"  264,800 ",,-0.30%,-0.30%,-0.30%,1.21%,0.45%,-0.68%,1.40%,1.40%,1.40%,1.40%,0.64%,0.26%,-0.30%,-0.30%,-0.30%,-0.30%,0.45%,-0.68%,-1.25%,-1.44%,-1.44%,-1.44%,-1.44%,-2.19%,-2.19%,-2.19%,-2.19%,-2.19%,-2.19%,-2.57%,-2.57%,-2.57%,-2.57%,-2.57%,-2.57%,-2.57%,-2.57%,-3.32%,-3.32%,-1.44%,-1.44%,-0.68%,-0.68%,0.45%,0.45%,0.45%,0.45%,0.45%,0.83%,0.83%,1.21%,1.21%,1.21%,1.02%,1.02%,1.02%,1.02%,2.34%,1.77%,0.83%,0.26%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.87%,-0.87%,-0.87%,-0.87%,-0.87%,-0.87%,-0.87%,-1.25%,-1.44%,-1.44%,-1.44%,-1.44%,-1.44%,-1.44%,-1.44%,-1.44%,-1.44%,-1.44%,-1.44%,-1.44%,-1.44%,-1.62%,-1.62%,-1.62%,-1.62%,-1.62%,-1.62%,-1.62%,-1.62%,-1.81%,-1.62%,-1.62%,-1.62%,-1.62%,-1.62%,-1.81%,-1.81%,-1.81%,-1.81%,-1.81%,-1.81%,-1.81%,-1.81%,-1.81%,-1.81%,-1.81%,-1.81%,-1.81%,-0.68%,-0.68%,-0.68%,-0.68%,-0.68%,-0.68%,-0.68%,-0.68%,-0.68%,-1.06%,-1.06%,0.45%,0.83%,1.96%,1.96%,1.96%,1.96%,3.55%,3.47%,3.47%,5.74%,7.25%,6.31%,6.12%,5.74%,5.36%,5.36%,5.36%,6.12%,6.12%,4.98%,4.23%,4.68%,4.68%,6.50%,10.35%,9.89%,5.74%,5.74%,3.85%,3.85%,3.85%,,-3.32%,10.35%
,2T,"  329,800 ",,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-7.22%,-7.22%,-7.22%,-7.22%,-7.22%,-7.52%,-7.52%,-5.70%,-5.70%,-5.09%,-5.09%,-4.18%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.58%,-3.58%,-3.58%,-3.58%,-3.58%,-3.58%,-3.58%,-3.58%,-3.58%,-3.58%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-3.88%,-4.18%,-4.49%,-4.49%,-4.49%,-4.49%,-4.49%,-4.49%,-4.49%,-4.49%,-4.49%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-5.70%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-4.79%,-5.09%,-5.70%,-5.70%,-5.70%,-5.70%,-4.49%,-4.49%,-3.88%,-1.15%,-0.85%,0.12%,0.12%,0.06%,0.06%,0.52%,0.52%,0.52%,0.36%,0.36%,0.36%,0.36%,0.36%,0.97%,0.97%,0.36%,0.06%,0.42%,0.42%,2.18%,6.19%,5.82%,2.79%,2.79%,1.58%,1.58%,1.58%,,-100.00%,6.19%
17Pro,256G,"  179,800 ",,4.56%,4.56%,4.00%,3.73%,3.73%,0.11%,6.79%,6.79%,6.79%,6.79%,5.67%,4.56%,4.56%,4.56%,4.56%,4.56%,5.67%,4.28%,2.89%,2.89%,2.61%,2.61%,1.78%,1.22%,2.89%,2.89%,4.00%,4.00%,4.00%,4.00%,2.89%,2.89%,2.61%,1.78%,1.78%,1.78%,1.78%,0.67%,0.11%,2.06%,2.06%,1.50%,1.50%,3.17%,2.06%,1.50%,0.67%,0.67%,1.78%,2.34%,2.89%,2.89%,2.89%,2.61%,1.78%,1.78%,1.78%,2.61%,1.50%,0.95%,-0.17%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.67%,-2.67%,-2.67%,-2.11%,-1.56%,-1.84%,-1.84%,-1.84%,-1.84%,-1.56%,-0.17%,0.39%,0.11%,-0.17%,-0.44%,-0.44%,-0.72%,-1.00%,-1.00%,-1.00%,-1.00%,-1.00%,-1.28%,-1.28%,-1.28%,-1.28%,-1.28%,-1.28%,-1.28%,-1.56%,-1.56%,-1.56%,-1.56%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-2.11%,-1.56%,-2.11%,-2.11%,-2.11%,-1.56%,-1.00%,-1.28%,-1.28%,-1.56%,-1.56%,-1.56%,-1.56%,-1.56%,-1.56%,-1.56%,-1.56%,-1.56%,-1.84%,-2.67%,-2.67%,-2.11%,-1.56%,-1.00%,-100.00%,-100.00%,-1.56%,-0.44%,1.78%,4.00%,4.56%,4.56%,4.00%,3.17%,1.78%,2.34%,2.34%,1.78%,0.95%,0.67%,0.39%,0.39%,0.39%,0.39%,0.39%,-0.44%,-0.44%,-0.44%,-0.44%,0.11%,2.06%,3.45%,1.50%,0.56%,-2.11%,-2.67%,-1.56%,,-100.00%,6.79%
,512G,"  214,800 ",,-0.37%,-0.37%,-0.37%,1.02%,0.56%,-0.84%,1.96%,1.96%,1.96%,1.96%,1.02%,0.56%,-0.14%,-0.14%,-0.14%,-0.37%,0.56%,-1.30%,-1.77%,-2.23%,-2.23%,-2.23%,-2.47%,-3.17%,-2.70%,-2.70%,-2.70%,-2.70%,-2.70%,-2.70%,-3.63%,-3.63%,-3.63%,-4.10%,-4.10%,-4.10%,-4.10%,-4.10%,-4.10%,-2.70%,-2.70%,-2.23%,-2.23%,-1.30%,-1.30%,-1.30%,-0.84%,-0.84%,-0.84%,-0.84%,-0.37%,-0.37%,-0.37%,-0.61%,-0.61%,-0.61%,-0.61%,0.56%,0.56%,-0.37%,-0.84%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.77%,-1.54%,-1.54%,-1.54%,-1.54%,-1.54%,-1.54%,-1.54%,-1.30%,-0.37%,-0.37%,-0.61%,-0.61%,-0.61%,-0.61%,-1.30%,-1.77%,-1.77%,-2.00%,-2.00%,-2.00%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-2.23%,-1.77%,-2.23%,-2.23%,-2.23%,-1.77%,-1.77%,-1.77%,-1.77%,-0.84%,-0.84%,-0.84%,-1.30%,-0.84%,-0.84%,-0.84%,-0.84%,-0.84%,-1.30%,-1.30%,-1.77%,-0.37%,-0.37%,-0.37%,-100.00%,-100.00%,0.09%,0.09%,0.56%,0.56%,1.26%,1.26%,1.21%,1.02%,0.56%,1.49%,1.49%,1.02%,0.33%,-0.05%,-0.05%,-0.14%,-0.14%,-0.14%,-0.14%,-0.84%,-0.84%,0.09%,0.09%,1.02%,1.12%,1.96%,0.33%,-0.47%,-3.17%,-2.23%,-1.30%,,-100.00%,1.96%
,1T,"  249,800 ",,-2.12%,-2.12%,-2.12%,-2.12%,-2.32%,-2.72%,-2.12%,-2.12%,-2.12%,-2.12%,-2.92%,-3.32%,-3.52%,-3.52%,-3.52%,-3.52%,-2.72%,-3.92%,-4.12%,-4.32%,-4.32%,-4.32%,-4.72%,-5.12%,-5.12%,-5.12%,-5.12%,-5.12%,-5.12%,-5.12%,-5.52%,-5.52%,-5.52%,-5.52%,-5.52%,-5.52%,-5.52%,-5.52%,-5.52%,-3.92%,-3.92%,-3.92%,-3.92%,-2.72%,-2.72%,-2.72%,-2.72%,-2.72%,-2.72%,-2.72%,-2.32%,-2.32%,-2.32%,-2.52%,-2.52%,-2.52%,-2.52%,-1.92%,-1.92%,-2.72%,-2.72%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-2.92%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-3.12%,-2.32%,-2.32%,-2.32%,-2.32%,-2.32%,-2.32%,-2.32%,-2.32%,-2.32%,-2.32%,-2.32%,-2.32%,-2.32%,-1.92%,-1.92%,-1.92%,-1.92%,-1.92%,-1.92%,-1.92%,-1.92%,-1.92%,-1.92%,-1.52%,-1.12%,-1.12%,-100.00%,-100.00%,-1.12%,-1.12%,-0.32%,-0.32%,-0.24%,-0.24%,-0.24%,-0.72%,-0.72%,0.08%,0.08%,-0.32%,-1.32%,-1.64%,-1.64%,-1.72%,-1.92%,-0.92%,-0.92%,-1.52%,-1.52%,-1.44%,-1.44%,0.68%,0.56%,1.28%,-0.12%,-1.92%,-3.12%,-2.32%,-1.12%,,-100.00%,1.28%
Air,256G,"  159,800 ",,-16.15%,-16.15%,-16.15%,-16.15%,-16.15%,-17.40%,-16.15%,-16.15%,-16.15%,-16.15%,-16.15%,-16.15%,-16.15%,-16.15%,-16.15%,-16.15%,-16.15%,-16.15%,-16.15%,-16.77%,-16.15%,-16.15%,-16.15%,-16.15%,-14.89%,-14.89%,-14.89%,-15.52%,-15.52%,-13.02%,-12.39%,-11.14%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-5.51%,-5.51%,-5.51%,-5.51%,-4.26%,-4.26%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-4.88%,-5.51%,-6.76%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-7.38%,-8.01%,-8.01%,-8.01%,-8.01%,-8.01%,-8.01%,-8.01%,-8.01%,-8.01%,-9.26%,-9.26%,-9.89%,-9.89%,-9.89%,-10.51%,-10.51%,-10.51%,-9.26%,-9.26%,-9.26%,-6.76%,-6.76%,-6.76%,-6.76%,-6.76%,-7.38%,-8.01%,-8.01%,-8.01%,-8.01%,-8.64%,-8.64%,-10.51%,-9.26%,-9.26%,-10.51%,-10.51%,-11.14%,-11.14%,-11.14%,-12.39%,-12.39%,-14.89%,-14.89%,-16.15%,-16.15%,-17.40%,-17.40%,-17.40%,-18.02%,-18.02%,-18.02%,-19.27%,-20.53%,-20.53%,-20.53%,-20.53%,-21.15%,-21.15%,-22.40%,-22.40%,-22.40%,-22.40%,-23.03%,-19.90%,-19.27%,-19.90%,-18.02%,-16.77%,-16.15%,-14.27%,-13.02%,-13.02%,-13.02%,-13.02%,-12.39%,-11.76%,-10.51%,-6.76%,-5.51%,-5.51%,-5.51%,-4.26%,-4.26%,-3.00%,2.13%,3.38%,1.63%,1.06%,-2.38%,-2.38%,-1.13%,,-23.03%,3.38%
,512G,"  194,800 ",,-23.51%,-23.51%,-26.08%,-26.08%,-26.08%,-26.08%,-23.00%,-23.00%,-23.00%,-23.00%,-23.00%,-23.00%,-23.00%,-23.00%,-23.00%,-23.00%,-23.00%,-23.00%,-23.51%,-23.51%,-23.00%,-23.00%,-21.46%,-21.46%,-21.46%,-21.46%,-21.46%,-21.46%,-21.46%,-21.46%,-21.46%,-21.46%,-17.86%,-17.86%,-17.86%,-17.86%,-17.86%,-17.86%,-15.30%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.27%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-14.78%,-15.30%,-16.32%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-16.84%,-17.86%,-17.86%,-18.38%,-18.38%,-18.89%,-18.89%,-18.89%,-17.35%,-17.35%,-17.35%,-17.35%,-16.32%,-16.32%,-16.32%,-16.32%,-16.32%,-16.84%,-17.35%,-17.86%,-17.86%,-17.86%,-17.86%,-18.38%,-18.38%,-18.38%,-18.38%,-18.89%,-19.40%,-19.40%,-19.40%,-19.40%,-20.43%,-20.43%,-21.46%,-21.46%,-21.46%,-23.00%,-23.00%,-23.00%,-23.00%,-25.05%,-25.05%,-25.05%,-26.08%,-26.59%,-28.64%,-28.64%,-28.64%,-28.64%,-28.64%,-28.64%,-28.64%,-28.13%,-28.13%,-21.46%,-18.89%,-18.89%,-18.89%,-17.35%,-16.84%,-16.84%,-13.24%,-13.24%,-13.24%,-13.24%,-13.24%,-9.14%,-9.14%,-9.14%,-6.06%,-4.52%,-4.52%,-3.49%,-3.49%,-3.49%,-1.44%,0.21%,0.72%,-0.87%,-1.33%,-3.49%,-2.46%,-0.41%,,-28.64%,0.72%
,1T,"  229,800 ",,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-27.76%,-26.89%,-26.89%,-26.89%,-26.89%,-26.89%,-26.89%,-26.89%,-26.89%,-25.59%,-25.59%,-25.59%,-25.59%,-25.59%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.02%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.46%,-26.89%,-26.89%,-26.89%,-26.89%,-26.89%,-26.89%,-26.89%,-25.59%,-25.59%,-25.59%,-25.59%,-25.59%,-25.59%,-25.59%,-25.59%,-25.59%,-26.02%,-26.46%,-26.89%,-26.89%,-26.89%,-26.89%,-28.20%,-28.20%,-28.20%,-28.20%,-28.63%,-29.50%,-29.50%,-29.50%,-28.63%,-30.37%,-29.07%,-32.11%,-32.11%,-32.55%,-32.55%,-32.55%,-32.55%,-32.55%,-32.55%,-32.55%,-32.55%,-32.55%,-32.99%,-32.99%,-32.99%,-32.99%,-32.99%,-32.99%,-32.99%,-32.99%,-31.68%,-31.68%,-23.41%,-19.06%,-19.06%,-19.06%,-17.32%,-16.88%,-16.88%,-14.71%,-14.71%,-14.71%,-14.71%,-14.27%,-8.62%,-8.62%,-8.62%,-3.83%,-3.83%,-3.83%,-3.83%,-3.83%,-3.83%,-2.96%,-1.70%,-1.78%,-3.13%,-3.44%,-4.26%,-4.26%,-1.22%,,-100.00%,-1.22%
17,256G,"  129,800 ",,-6.39%,-6.01%,-6.01%,-6.01%,-6.01%,-6.01%,-4.08%,-4.08%,-4.08%,-4.08%,-3.31%,-4.47%,-3.70%,-3.70%,-3.70%,-2.93%,-2.93%,-2.93%,-3.70%,-4.47%,-3.70%,-1.77%,-1.77%,-0.62%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,-0.62%,-0.62%,0.15%,0.15%,0.15%,-0.62%,0.92%,0.92%,0.92%,0.15%,0.15%,0.92%,0.92%,1.69%,0.92%,0.92%,0.15%,0.15%,0.15%,0.15%,1.69%,1.31%,0.92%,-1.00%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.16%,-2.93%,-3.31%,-3.31%,-3.70%,-2.93%,-2.93%,-2.93%,-2.93%,-1.39%,-2.16%,-0.39%,-0.62%,-0.62%,-0.62%,0.15%,0.15%,-0.62%,-0.62%,0.15%,4.78%,5.16%,5.16%,5.16%,4.78%,4.78%,4.78%,4.78%,4.39%,4.01%,3.24%,3.24%,3.24%,3.24%,3.24%,3.24%,2.85%,2.47%,2.16%,1.69%,1.69%,1.31%,1.31%,1.31%,1.31%,1.31%,1.31%,0.92%,0.15%,0.15%,-0.62%,-0.62%,-1.00%,-1.00%,-1.39%,-1.39%,-1.39%,-2.16%,-2.16%,-3.70%,-2.16%,-2.16%,-2.16%,-1.39%,-1.39%,-1.39%,-1.39%,-1.39%,-1.39%,-0.62%,-0.23%,-0.23%,-1.00%,-1.00%,-1.39%,-2.93%,-0.62%,-0.62%,-1.39%,-2.16%,-3.70%,-4.47%,-4.47%,-4.47%,-4.47%,-4.47%,-4.85%,-9.09%,-9.09%,-9.09%,-1.39%,-4.47%,,-9.09%,5.16%
,512G,"  164,800 ",,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-2.91%,-2.91%,-2.91%,-2.91%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.70%,-1.09%,-1.70%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-2.91%,-3.52%,-4.13%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-4.73%,-3.52%,-3.52%,-3.52%,-3.52%,-3.52%,-3.52%,-3.52%,-3.52%,-3.52%,-3.52%,-3.52%,-3.52%,-3.52%,-3.52%,-4.13%,-4.73%,-4.73%,-4.73%,-4.73%,-5.34%,-5.95%,-5.95%,-4.73%,-4.73%,-3.52%,-3.52%,-2.91%,-2.91%,-2.31%,-2.31%,-2.31%,-2.31%,-2.31%,-2.91%,-3.22%,-3.52%,-3.52%,-3.52%,-3.52%,-4.13%,-4.73%,-5.95%,-6.55%,-6.55%,-6.55%,-6.25%,-6.25%,-6.55%,-10.19%,-10.80%,-12.01%,-8.98%,-5.95%,,-100.00%,-1.09%
